jmeno,rasa_puvodni,rasa,pohlavi_puvodni,pohlavi,pohlavi_doplnek,barva_vlasu_puvodni,barva_vlasu,sekundarni_barva_vlasu,barva_oci_puvodni,barva_oci,sekundarni_barva_oci,heterochromie,jezdec
Retien,člověk/elfská krev,člověk,žena,žena,,blond/bílá,bílá,,modrá,modrá,,,ano
Karum,urgal,urgal,muž,muž,,černá,černá,,"šedá/živice, zlatá?",žlutá,,,ano
Kiraya,člověk,člověk,žena,žena,,zrzavá,zrzavá,,šedá,šedá,,,ano
Amanita,člověk,člověk,žena,žena,,hnědá,hnědá,,zelená,zelená,,,ano
Celphius,urgal,urgal,muž,muž,,černá,černá,,žlutá,žlutá,,,ano
Camri,elf,elf,žena,žena,,blond/růžová,blond,růžová,zelenohnědá,zelená,hnědá,,ano
Sindúal,půlelf,půlelf,žena,žena,,hnědá/kaštanová,hnědá,,modrá/ledově modrá,modrá,,,ano
Tristan,člověk,člověk,muž,muž,,blond/zrzavá,blond,,modrá/tmavě modrá,modrá,,,ano
Pippa,člověk,člověk,žena,žena,,hnědá,hnědá,,hnědá,hnědá,,,ano
Anitë,elf,elf,žena,žena,,stříbrná,stříbrná,,modrá/světle modrá,modrá,,,ano
Diennsia,člověk,člověk,žena,žena,,hnědá/kaštanová,hnědá,,modrá,modrá,,,ano
Desiree,člověk,člověk,žena (amab),žena,amab,hnědá,hnědá,,modrá,modrá,,,ano
Nox,člověk,člověk,muž,muž,,černá,černá,,"heterochromie/modrá,heterochromie tmavá+světlá modrošedá",heterochromie,,ano,ano
Kileen,elf,elf,žena,žena,,černá,černá,,hnědá/zelenohnědá,hnědá,zelená,,ano
Sandra,člověk,člověk,žena,žena,,hnědá/měděná,hnědá,,šedá/břidlicová,šedá,,,ano
Kendall,člověk,člověk,žena,žena,,zrzavá,zrzavá,,zelená,zelená,,,ano
Philza,člověk,člověk,muž,muž,,hnědá/tmavě hnědá (v popisu černá),hnědá,,šedá,šedá,,,ano
Claire,člověk,člověk,žena,žena,,hnědá/hnědočerná,hnědá,,modrá/tyrkysová,modrá,,,ano
Shagy,člověk,člověk,muž,muž,,zrzavá,zrzavá,,zelená/smaragdová,zelená,,,ano
Thëseus,člověk,člověk,muž,muž,,blond/pískově zlatá,blond,,modrá,modrá,,,ano
Morwen,půlelf,půlelf,žena,žena,,černá/tmavě hnědá,černá,,modrá/tmavá modrozlatá,modrá,zlatá,,ano
Avyxen,člověk,člověk,muž,muž,,blond,blond,,modrá,modrá,,,ano
Shairen,člověk,člověk,nb (afab),nb,afab,černá,černá,,hnědá/bronzová,hnědá,bronzová,,ano
Oran,elf,elf,muž,muž,,hnědá,hnědá,,zelená/dřív měnivá,zelená,,,ano
Filareth,půlelf,půlelf,muž,muž,,černá,černá,,zelená/šedozelená,zelená,šedá,,ano
Narrasha,urgal,urgal,žena,žena,,černá/šedavá,šedá,,žlutá/zlatá,žlutá,zlatá,,ano
Cian,elf,elf,nb (amab),nb,amab,hnědá,hnědá,,fialová,fialová,,,ano
Rayla,půlelf,půlelf,žena,žena,,stříbrná,stříbrná,,modrá,modrá,,,ano
Yathir,člověk,člověk,muž,muž,,černá,černá,,hnědá/černá,hnědá,černá,,ano
Theodore,půlelf,půlelf,muž,muž,,bílá,bílá,,šedá/stříbrná,šedá,,,ano
Lhikan,člověk,člověk,muž,muž,,hnědá,hnědá,,modrá,modrá,,,ano
